S0:
     0  1  2  3  4  5  6  7  8  9 10 11 12 13 14 15 
 0: 64  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 
 1:  2  2  2  4  6  6  4  2  4  4  8  2  6  2  4  6 
 2: 16  0  0  6  0  4  2  4  0  6  4  4 12  2  2  2 
 3:  2  4  4  8  2  2  8  2  4  4  4  6  2  4  2  6 
 4: 16  0  0  6  0  6  8  4  0  4  6  4  0  6  2  2 
 5:  6  4  4  8  2  6  2  8  2  4  2  2  6  2  4  2 
 6: 16  4  2  2  6  2  4  0  4  4  4  0  4  0  0 12 
 7: 10  4  2  2  4  4  4  2  4  6  2  6  4  4  2  4 
 8: 16  0  0 10  0  2  8  4  0  4  2  4  8  2  2  2 
 9:  2  2  2  6  2  4  4  2  2 12  6  4  4  4  2  6 
10: 16  6  6  0  2  6  4  0  2  4  6  0  4  0  0  8 
11:  4  4  4  2  4  8  8  2  2  2  4  2  6  2  4  6 
12: 16  0  0  6  0  6  4  0  0  4  6  0  4  6 10  2 
13:  8  4  8  2  6  2  4  2  2  4  6  2  4  2  2  6 
14: 16  2  8  6  4  6  2  0  2  6  4  0  0  0  0  8 
15:  2  4  2  4  2  4  6  4  4  4  4  4  8  4  4  4 
16: 16  0  0  0  0  0  2 10  0  4  2 10  2  6  6  6 
17:  2  6  4 12  4  2  2  4  6  2  2  2  2  4  6  4 
18: 16  4  4  0  2  6  2  6  6  2  2  6  4  0  4  0 
19:  6  4  4  2  8  4  2  2  6  2  4  4  4  6  2  4 
20: 16  8  4  0  8  0  4  0  8  0  2  2  2  6  4  0 
21:  2  2  4  2  4  2  2  2 10  4  4  8  2  2 12  2 
22: 16  4 10  6  0  2  2  4 10  0  0  2  0  4  2  2 
23:  2  2  8  2  2  6  4 10  4  2  2  6  2  4  4  4 
24: 16  4  2  0  8  2  2  2  2  2  6  8  4  6  0  0 
25:  8  4  4  4  8  4  4  4  2  2  2  2  2  6  6  2 
26: 16  6  4  0  0  4  4  6  6  2  2  0  2  4  6  2 
27:  2  6  4  2  2  2  4  6  6  4  6  6  6  4  2  2 
28: 16  8  6  6  4  0  0  8  6  2  0  0  0  4  4  0 
29:  2  4  4  2  4  6  2  8  4  4  2  2  2 10  4  4 
30: 16  2  2  0 14  2  0  0  2  4  2  8  2  2  6  2 
31:  4  8  4  2  4  2  4  4  2  4  6  6  4  4  4  2 
32:  2  2  2  8  2  6  6  4  2  8  4  4  4  2  2  6 
33:  2  2  2  4  2  4  4  4  2  6  6  4 10  4  4  4 
34:  8  4  6  2  4  8  2  2  2  2  6  2  2  2  2 10 
35: 12  6  2  2  6  6  4  2  4  4  4  2  2  4  2  2 
36: 12  2  2  4  4  2  4  2  2  8  4  2  4  6  4  2 
37:  4  6  4  2  2  4  4  2  2  6  6  2  4  4  6  6 
38:  2  2  2  6  6  8  4  2  2  4  8  2  6  6  2  2 
39:  4  4  6  6  2  4  8  2  4  4  6  2  2  4  4  2 
40: 10  2  4  6  2  6  4  2  2  4  6  2  4  2  4  4 
