-------------1------------
0 : [32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
1 : [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
2 : [0, -2, -2, -4, -2, 0, -4, 6, 2, 0, 0, 6, 4, -2, -6, 4]
3 : [0, -2, -2, -4, -2, 0, -4, 6, 2, 8, 0, -2, 4, 6, -6, -4]
4 : [0, 2, -2, -4, -2, 0, -4, -6, -2, 4, 8, 2, 0, -2, -6, 12]
5 : [0, -2, -2, 0, -2, -4, -4, -2, 2, -4, -4, 2, 4, -10, -2, -4]
6 : [0, 0, 0, 4, 0, 4, 0, 0, 0, -4, 4, 4, 0, 0, -4, -8]
7 : [0, -4, 0, 8, 0, 0, 0, 4, 4, -4, -8, -4, 4, 0, 0, 0]
8 : [0, 4, -2, 6, -6, -6, 0, -4, -4, -4, 2, -2, 2, -2, 0, 0]
9 : [0, 0, 6, -6, -2, -6, 4, -4, 0, -4, -2, 6, 2, -6, 0, -4]
10 : [0, -2, 0, 2, 0, 6, 8, 2, -2, 0, -2, 4, -2, 0, -2, 4]
11 : [0, 2, -8, -2, -4, -10, 4, 2, -6, 8, 2, 4, -2, -4, -2, 0]
12 : [0, -2, 0, 6, 0, 2, 0, 2, 2, 0, 6, -4, 2, -4, 6, 0]
13 : [0, 6, 0, 6, 4, -2, -4, -2, 2, 0, 6, 4, -2, 8, -6, -4]
14 : [0, 0, -2, -2, 2, 2, 0, 0, 4, 4, 6, -2, 2, 2, -4, 4]
15 : [0, 0, -2, 6, -2, -2, 4, -4, -4, -4, -2, -2, -2, -2, 0, 0]
16 : [0, 2, 2, 0, -2, 0, 4, -6, 0, 6, 2, -4, 6, -4, -4, -18]
17 : [0, 2, -2, -4, 2, -4, -4, 10, -4, 2, 2, -4, -2, -4, 0, -6]
18 : [0, 4, 0, 0, -4, 4, 0, 4, -6, 2, 2, 6, 2, 6, 6, -10]
19 : [0, 4, -4, -4, 0, 0, -8, -12, -2, -2, -6, 6, 2, 6, 2, 2]
20 : [0, 4, 0, 4, -8, -4, 4, 0, 2, 6, -2, 2, 6, 2, -2, 2]
21 : [0, 0, 4, -4, -4, 4, 4, -4, 10, 2, 2, 2, -6, 2, 6, -2]
22 : [0, 6, 2, 0, 2, -4, 0, 2, 4, 2, 2, 0, -2, 0, 0, 2]
23 : [0, 2, 6, -8, 6, 4, 0, -2, -12, -2, -2, 0, -6, 0, 0, -2]
24 : [0, 2, 8, 2, 0, 6, 4, 2, 4, -2, 4, 6, 0, -2, -4, 2]
25 : [0, -2, 4, -6, 0, -6, 0, 2, 4, -6, 8, 6, 0, 2, 0, -6]
26 : [0, 0, -6, 2, -2, -2, 4, 4, -2, -2, 0, 0, -4, 4, 2, 2]
27 : [0, 4, 6, 2, -10, 2, -8, 4, -2, -6, 4, 0, 4, 0, -2, 2]
28 : [0, -4, 2, 2, 2, -6, 0, -4, -2, -2, 4, 0, 0, 4, 2, 2]
29 : [0, 4, -2, -2, 2, -6, -4, 0, 2, 2, -4, 0, -12, 0, -6, -6]
30 : [0, 2, 0, -2, 4, -2, 0, -2, 0, 6, -4, -2, 0, -2, 0, 2]
31 : [0, 2, -4, 2, -4, -2, 4, 2, 4, -6, 4, -2, -4, 2, 0, 2]
32 : [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
33 : [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
34 : [0, 2, -2, 0, 2, 0, 0, 6, -2, 0, -4, 6, 4, 10, 10, 0]
35 : [0, 2, -2, 0, 2, 0, 0, 6, 6, 0, 4, -10, -4, -6, 2, 0]
36 : [0, 2, -6, -8, 2, 4, 4, 2, 2, 0, 0, 2, 0, 6, -10, 0]
37 : [0, -2, 2, 4, 2, 0, -4, -2, -2, 0, 4, 2, -4, 6, -6, 0]
38 : [0, 4, 4, -4, 8, -8, 4, 0, 0, -8, 0, -4, 0, 4, 0, 0]
39 : [0, 0, -4, -8, -8, 4, -4, -4, 4, -8, -4, -4, 4, 4, -4, 0]
40 : [0, 4, -2, -2, -2, -2, -4, 0, 4, 4, 2, 6, -2, -6, 12, 4]
41 : [0, 0, -2, -6, 2, -2, -8, 8, 0, -4, -2, -2, 6, -2, -4, 0]
42 : [0, 2, 0, -2, 0, 2, 0, -2, 2, -8, -6, -4, 2, 0, 2, -4]
43 : [0, -10, 0, 2, -4, 2, 4, 6, -2, 0, -10, 4, 2, -4, -6, 0]
44 : [0, 6, -4, 2, 8, 2, 4, 6, -2, -4, -2, 12, -2, -8, -2, 0]
45 : [0, -2, -4, 2, -4, -2, 0, 2, -2, -4, -2, 4, -6, 4, 2, -4]
46 : [0, -4, 2, 6, 6, -6, -8, 4, -4, 0, 2, 6, 6, 2, 4, 0]
47 : [0, -4, 2, -2, 2, -10, 12, 0, -4, 0, 2, -2, 10, 6, 0, 4]
48 : [0, -2, -2, 0, -2, 4, 0, 2, 0, 2, 6, 4, 6, 0, 0, -2]
49 : [0, -2, 2, 4, 2, 0, 0, -6, -4, -2, -2, -4, -2, 0, -4, 2]
50 : [0, -4, -4, -4, 0, 0, 0, 4, -2, -2, -6, -2, -6, 6, 2, 2]
51 : [0, -4, 0, 0, 4, -4, 0, -4, -6, 2, 2, -2, 2, -2, -2, -2]
52 : [0, 8, -8, 8, 4, 4, 0, 0, -2, -2, 2, -6, 6, 6, -2, -2]
53 : [0, 4, -4, 0, -8, -4, 0, -4, -2, 2, -2, 2, 2, -2, -2, 2]
54 : [0, 6, 2, -8, 2, -4, 8, 2, 4, -6, 2, 0, 6, 0, 0, 2]
55 : [0, 2, -10, 0, 6, 4, 8, -2, 4, 6, -2, 0, 2, 0, 0, -2]
